Code commune,Nom Commune,KML
97101,LES ABYMES,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>-61.52548506021067,16.223358860024497 -61.530705879541152,16.228257351140762 -61.529645700320174,16.238751798027252 -61.532638637581215,16.245153140073889 -61.548839960323981,16.253118472545829 -61.54675063129541,16.256068526927013 -61.549677981261226,16.288064056628393 -61.544106065638012,16.292436162516086 -61.545555890701877,16.298862902288956 -61.53441279578206,16.312396617540749 -61.508108566854602,16.300915493831656 -61.498587609728936,16.305113773453325 -61.463685812667222,16.299819988692434 -61.447774138005684,16.286003092490148 -61.441491938059613,16.287646871639613 -61.438489286693361,16.286341421324909 -61.437433742608462,16.280206321865144 -61.444189822392659,16.27895473738544 -61.445841914707081,16.275903216451908 -61.445808320461438,16.262337889602978 -61.45515163008411,16.257968892866895 -61.50944393281133,16.236821302565303 -61.518729462196553,16.226095411901561 -61.52548506021067,16.223358860024497</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
97102,ANSE-BERTRAND,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>-61.404038897567247,16.44610473607807 -61.412238811778138,16.439615097574876 -61.413285826432819,16.429456270712468 -61.424534756464709,16.420946687017576 -61.431193575328273,16.423102215859149 -61.431663721886515,16.436860321239436 -61.434530630769693,16.43901451291639 -61.441268631518568,16.440727543329256 -61.446554741597609,16.449569022651222 -61.45014669049641,16.450092658949441 -61.455883819637755,16.445806154216807 -61.466617237058813,16.445622847094274 -61.475949494925658,16.440187155582013 -61.486764659688902,16.439090610154011 -61.51763359046825,16.454683796191393 -61.535703148777273,16.452940063378637 -61.5180775298616,16.470213298476644 -61.508236149698341,16.474797688971474 -61.502434703113707,16.48381173775552 -61.486424956957109,16.492516976058845 -61.469589774255731,16.510712989797462 -61.46603695992161,16.509828397544322 -61.46013010912894,16.501009802534135 -61.445769036016543,16.498779783617412 -61.440117781935918,16.489781866778376 -61.419860240699236,16.475595199768954 -61.411673684977814,16.468782545535589 -61.404038897567247,16.44610473607807</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
97103,BAIE-MAHAULT,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>-61.6484283476088,16.212961203887748 -61.64007233584676,16.22425062437113 -61.640292510097055,16.234419848150967 -61.630350742146128,16.248870931738043 -61.630289033491295,16.259128667736409 -61.624281157109124,16.275403275018931 -61.613724353867241,16.278344014927391 -61.610204872697587,16.269201661718387 -61.601524774883806,16.275380645967228 -61.596607522774761,16.268153940354662 -61.593188143383536,16.267426291390947 -61.589654002548976,16.268360790965865 -61.586524912950999,16.270219794590414 -61.577984250975476,16.281622543145879 -61.563709471168728,16.284870078515802 -61.556758488565798,16.283376723978648 -61.556779387361317,16.276679899914978 -61.550223389738363,16.273688785656308 -61.548402241790157,16.25794162350504 -61.550944540129215,16.249355099275551 -61.549008699725817,16.235215857148575 -61.544991740409458,16.229349956486928 -61.547711655228149,16.223286184932782 -61.560025003325599,16.234468502002432 -61.563180859312482,16.232736571648786 -61.580273311551252,16.236521035022701 -61.583169771991109,16.234416507625784 -61.597273991787915,16.234880812371763 -61.618192822212436,16.222726474750246 -61.6484283476088,16.212961203887748</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
97104,BAILLIF,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>-61.746472740025325,16.010468080207207 -61.751042551838054,16.034492084932459 -61.738274455494619,16.040617764575529 -61.730596272108095,16.056118622658559 -61.72123909384154,16.066466210546679 -61.708967509286012,16.073424428485534 -61.695102757657843,16.076567023351362 -61.684089828246691,16.089496662907607 -61.68061676185836,16.084549386860967 -61.683417817439107,16.082234765941017 -61.685519258528977,16.068301561769555 -61.709754990835407,16.042608203604246 -61.716089087643894,16.022607995538117 -61.730112310177674,16.011501769979471 -61.746472740025325,16.010468080207207</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
97105,BASSE-TERRE,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>-61.722987899678699,15.985564227122898 -61.746472740025325,16.010468080207207 -61.730112310177674,16.011501769979471 -61.712497577804797,15.99679976351651 -61.722987899678699,15.985564227122898</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
97106,BOUILLANTE,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>-61.766446333384891,16.090439622930532 -61.772368133380041,16.092841813281002 -61.773768751576007,16.117479928495133 -61.770822785453213,16.131237715096329 -61.778372901786163,16.142787158973579 -61.775963172715954,16.163598103789905 -61.776639905182783,16.170652037170704 -61.783941154645127,16.177292005785333 -61.782306073632341,16.187695031871968 -61.769850159066692,16.181178901236706 -61.762754685862305,16.180604481563506 -61.749407446782456,16.185117956190105 -61.73642518197439,16.180693756627889 -61.730913597784664,16.167925871302938 -61.729598703433219,16.154152566847564 -61.725236765552623,16.148938480673255 -61.724183874360719,16.135202873016357 -61.731413291214096,16.127671807798894 -61.733275423184999,16.114206574252023 -61.749112660882204,16.106996851675056 -61.766446333384891,16.090439622930532</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
97107,CAPESTERRE-BELLE-EAU,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>-61.614550742455982,15.9860679050811 -61.622860768421468,15.99236667670394 -61.628236608511024,16.012447774315248 -61.632516068402872,16.018006451768752 -61.640110873475471,16.025312394103761 -61.655626143007254,16.033418071155733 -61.659725391682777,16.042346424467819 -61.662883415237928,16.04390265363136 -61.664105325201767,16.056889234572083 -61.672845881237436,16.062366548284221 -61.675159485005032,16.075757550774266 -61.68061676185836,16.084549386860967 -61.684089828246691,16.089496662907607 -61.678090710345231,16.091918068709163 -61.668323175645561,16.090239597806374 -61.663489067301526,16.094565863133809 -61.642250291725802,16.091584977781768 -61.62230288531368,16.08446185582503 -61.603453927078149,16.094272412662036 -61.589591676411295,16.098013499727589 -61.579214340268649,16.107253852743973 -61.569185333977153,16.110811108791015 -61.563182907610283,16.106947774157867 -61.559447142052271,16.093456148943186 -61.560697659679867,16.065184938936156 -61.557240635953207,16.052020534472003 -61.571919399552321,16.023784801631468 -61.613639291590331,15.98952364684633 -61.614550742455982,15.9860679050811</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
97108,CAPESTERRE-DE-MARIE-GALANTE,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>-61.259436453184385,15.871203130902117 -61.257062654946807,15.881233096376876 -61.249837410229006,15.892904640368574 -61.25579503268677,15.900480551249347 -61.252102890119694,15.917096662661034 -61.264068963084647,15.92437759464516 -61.26090633777941,15.926150470675028 -61.255166563197371,15.946220222425055 -61.244962973309256,15.949896681520951 -61.224492154507956,15.964359428070592 -61.200063855461366,15.943616275948701 -61.196049000004436,15.929883168622071 -61.197706941451486,15.915727558801665 -61.203622561188283,15.902637528264096 -61.216337558880873,15.895621937155713 -61.23528899091648,15.878987090187353 -61.248481067348436,15.872660045024686 -61.259436453184385,15.871203130902117</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
97109,GOURBEYRE,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>-61.710095701859245,15.970618992003239 -61.716549056455605,15.98277819365512 -61.722987899678699,15.985564227122898 -61.712497577804797,15.99679976351651 -61.687510362243373,16.011182334596963 -61.680314367708057,16.009818630642741 -61.667596683288522,16.016762871270767 -61.661696560156372,16.025674075741954 -61.663262107876093,16.036168248142268 -61.659725391682777,16.042346424467819 -61.655626143007254,16.033418071155733 -61.658516062050381,16.016335747115509 -61.668850695173361,15.998160743535012 -61.663165540022945,15.981865514507252 -61.662749410116291,15.978401248887266 -61.664432963953772,15.975320597418397 -61.670909713848893,15.97786432696736 -61.683548757110152,15.972537080149136 -61.686582596034384,15.974381375978346 -61.692762202480623,15.970930175260809 -61.710095701859245,15.970618992003239</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
97110,LA DESIRADE,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>-61.053742125430077,16.327985958186378 -61.051937838386621,16.327815698722063 -61.048464383966753,16.33177737203906 -61.046709278335129,16.331363556515949 -61.032433904197369,16.338432263416053 -61.023540780626824,16.344339669813326 -61.019920485247681,16.344215336791468 -61.016789874949303,16.348423569007295 -61.009820950656277,16.349984259599342 -61.006927023662875,16.345592768598195 -61.003398163586432,16.333704827981126 -61.009503166588004,16.329615236811584 -61.026784648772129,16.323226789816776 -61.047827758791712,16.30822446488607 -61.073177435840726,16.302177362322936 -61.095078120474788,16.292743670027157 -61.097752831245707,16.293824961580569 -61.097077450156256,16.302728310439587 -61.090000138009266,16.310850964695685 -61.07909845321592,16.312884539467497 -61.0749893815929,16.318774615164457 -61.067740689702795,16.319422211388552 -61.060836127637209,16.322178045547329 -61.053742125430077,16.327985958186378</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
