Code commune,Nom Commune,KML
97201,L'AJOUPA-BOUILLON,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>-61.108056701660573,14.807760269050437 -61.126495373392686,14.799117826615413 -61.143409834236621,14.8013423048662 -61.148480019468451,14.805901723880337 -61.158942566457078,14.807747845813731 -61.163789177375087,14.812440748128392 -61.163347190558802,14.815283976288747 -61.14345566840926,14.809051429709992 -61.125025192666115,14.825331651984648 -61.104776933647265,14.832404434490847 -61.097849401535669,14.831018806852207 -61.100056753442942,14.814399897360909 -61.108056701660573,14.807760269050437</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
97202,LES ANSES-D'ARLET,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>-61.053302573034706,14.455794408952222 -61.056479833493171,14.454085540401394 -61.063276464588107,14.456355630405787 -61.068595376232324,14.465445484135657 -61.081016961865728,14.471556837096363 -61.080183869053677,14.485385938281707 -61.087055342381312,14.493132620452618 -61.086059955008608,14.503191929196118 -61.097949527697502,14.50998515337248 -61.095728377956618,14.520224373656688 -61.087781187101619,14.531745350827901 -61.077315830406384,14.541474017270708 -61.073730124362477,14.54092943588177 -61.057931721472279,14.506783575509695 -61.04893874520566,14.493523997431989 -61.055950468033309,14.481879162343366 -61.053498161865498,14.468475008384633 -61.056067258520166,14.462070900822305 -61.053302573034706,14.455794408952222</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
97203,BASSE-POINTE,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>-61.097849401535669,14.831018806852207 -61.104776933647265,14.832404434490847 -61.125025192666115,14.825331651984648 -61.14345566840926,14.809051429709992 -61.163347190558802,14.815283976288747 -61.163805546072773,14.816010617012427 -61.144055746367449,14.840008734780726 -61.125483093340428,14.873503212875841 -61.098797463471527,14.862836873640713 -61.091480337474486,14.854932082977685 -61.084602434386959,14.853121664700142 -61.097849401535669,14.831018806852207</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
97204,LE CARBET,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>-61.167649402768426,14.675302163052498 -61.185396233620388,14.709476702584961 -61.179280465602496,14.732591709833363 -61.169669609452455,14.73367268284967 -61.161271965706305,14.729602558039435 -61.155725565253064,14.733236626299362 -61.15083084189898,14.728950027824487 -61.121654269162264,14.719271243914237 -61.128691158799285,14.720521119972696 -61.155978943838655,14.713040187530343 -61.158707120504253,14.703274419047689 -61.154544792042643,14.69365269325891 -61.167649402768426,14.675302163052498</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
97205,CASE-PILOTE,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>-61.117535878584022,14.627591531763997 -61.1340086737344,14.633291060294757 -61.142036743049765,14.644389846994494 -61.151443852077549,14.64942628979961 -61.153979461226818,14.655899116628159 -61.129944858317842,14.669217773600453 -61.131685624914589,14.675214450337718 -61.124548584337035,14.69023102179705 -61.115911137791301,14.690612903442423 -61.107693793342051,14.679936415171261 -61.106276755980424,14.673074701948222 -61.108653882402756,14.652462212211129 -61.116845909117579,14.641015273691616 -61.117535878584022,14.627591531763997</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
97206,LE DIAMANT,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>-61.053302573034706,14.455794408952222 -61.056067258520166,14.462070900822305 -61.053498161865498,14.468475008384633 -61.055950468033309,14.481879162343366 -61.04893874520566,14.493523997431989 -61.057931721472279,14.506783575509695 -61.044533973451557,14.510314227381908 -61.035290476428266,14.505564914805616 -61.025156015561969,14.508245147583731 -61.011650968689956,14.505049549625694 -61.006997127041913,14.5099441701004 -61.003609361806085,14.509138206933425 -61.004140180740279,14.505799112376774 -60.99531700566785,14.500862146315916 -60.989379541304331,14.504073626153522 -60.983135739967182,14.501146393001603 -60.980295669759336,14.48905801364231 -60.984778677791972,14.484596230799884 -60.982517117233606,14.482380909968365 -60.984851393840955,14.472433442772624 -60.991535884382166,14.478870563322419 -60.990075647235003,14.466965734904218 -60.998847217622931,14.469227408985653 -61.00530173566797,14.478608218878605 -61.007608846486207,14.471588097168159 -61.01798679124088,14.479953553786471 -61.032212270998791,14.477027612657402 -61.044572487249063,14.46995535267803 -61.047803157463939,14.460041462096623 -61.053302573034706,14.455794408952222</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
97207,DUCOS,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>-60.953997279413116,14.555077259226742 -60.96609690416355,14.548821010847494 -60.972968958873793,14.548076367712486 -60.979100610946091,14.551210878641101 -60.989307675676642,14.548967332928747 -60.99717770563975,14.559978274102676 -61.000629747457154,14.559908403385316 -61.00064025252825,14.570065775904736 -60.993524106452206,14.582321804668332 -60.977059767724512,14.595924454935858 -60.97146566250359,14.604885349404979 -60.957842055621349,14.609013616509213 -60.947221927604382,14.607447426421613 -60.937710768584218,14.600423560566417 -60.935718121248279,14.588224885323926 -60.94965391902808,14.567283668908066 -60.953997279413116,14.555077259226742</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
97208,FONDS-SAINT-DENIS,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>-61.100802152953555,14.695360723244923 -61.10439920267514,14.700270196312871 -61.113158247499413,14.701986400128302 -61.121654269162264,14.719271243914237 -61.15083084189898,14.728950027824487 -61.155725565253064,14.733236626299362 -61.158269358496959,14.735516221612794 -61.157134944497237,14.744526449128335 -61.133225685464417,14.746304790753578 -61.13000918019118,14.747788013585112 -61.102115363545245,14.733535162901369 -61.087547778846151,14.742904096867539 -61.085350626826745,14.733984461849596 -61.079041337121076,14.727055023036909 -61.084773171341084,14.724617336460335 -61.086628740794318,14.721596237580544 -61.083535366500286,14.707933796868128 -61.089886231348238,14.706847556460787 -61.100802152953555,14.695360723244923</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
97209,FORT-DE-FRANCE,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>-61.036556564292177,14.605740587578776 -61.039533916236458,14.603822701798576 -61.038760292104314,14.596875869326423 -61.04183764932715,14.595175662798948 -61.05615891160015,14.596985293456807 -61.062044670390513,14.600956302248623 -61.090782509424294,14.600181082160903 -61.082254250627223,14.619423391967334 -61.082686305231128,14.637004056123715 -61.098157638309743,14.668345211532619 -61.102576314065942,14.688805255902523 -61.100802152953555,14.695360723244923 -61.089886231348238,14.706847556460787 -61.083535366500286,14.707933796868128 -61.077948127407112,14.703450362326739 -61.077672288472641,14.699959793153415 -61.083421651033134,14.691169168951287 -61.081484248852192,14.673802056356733 -61.063696607648026,14.661264772634839 -61.052241285246886,14.647685986105271 -61.039205707316356,14.641847108339997 -61.034857248516623,14.632990469432476 -61.036556564292177,14.605740587578776</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
97210,LE FRANCOIS,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>-60.896774350900372,14.562892216785874 -60.912173798038616,14.576837659236611 -60.929242055129464,14.580224575068927 -60.935718121248279,14.588224885323926 -60.937710768584218,14.600423560566417 -60.947221927604382,14.607447426421613 -60.945393682995466,14.610458529345506 -60.949419938820789,14.633582075302167 -60.928531608758703,14.634282726137547 -60.909158322574427,14.654332609844316 -60.898462418170567,14.654715101791092 -60.893893880028017,14.650074369886072 -60.900979248948126,14.65065348500611 -60.903303673284874,14.648270825583973 -60.892902898796486,14.639167809739527 -60.89619823144043,14.622543967762001 -60.875367652304796,14.618360995123419 -60.8760126663732,14.61207776825086 -60.870093234859141,14.603313012739028 -60.871311381205075,14.596294078913408 -60.866716555121769,14.590703991528025 -60.854284107497158,14.592532781389124 -60.849350193560724,14.588475410020926 -60.850057807547252,14.585355486009155 -60.869236625071849,14.576621719646846 -60.883089418079692,14.573639211399685 -60.896774350900372,14.562892216785874</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
