Code commune,Nom Commune,KML
97602,BANDRABOUA,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>45.158866830823428,-12.762355213679077 45.125770345366753,-12.754478619455526 45.101452848267819,-12.740698680233725 45.095121057286889,-12.732426790191234 45.095778119818348,-12.715932312610182 45.096862426396051,-12.709032183826743 45.089274890084155,-12.689185650223424 45.096250090160105,-12.672788392708503 45.102127153865489,-12.676077826641315 45.104054637136628,-12.682587984367485 45.110015021199544,-12.686121365259478 45.115121447658808,-12.695062642858561 45.12676710503365,-12.702454434122158 45.12370272723529,-12.708216207592736 45.129684782144764,-12.716442383983367 45.126953503592944,-12.725396165670704 45.140103294550769,-12.734396245310556 45.146372885269415,-12.727981455267019 45.158866830823428,-12.762355213679077</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
97606,CHIRONGUI,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>45.140895368429398,-12.965620108762879 45.119466287396996,-12.943883055814785 45.126403399744909,-12.933634361958385 45.136638304804698,-12.936748948859027 45.146980883297864,-12.934383173995704 45.154902237716755,-12.922876231644139 45.153876891289762,-12.91949485226956 45.138669381353054,-12.891760184893105 45.132261665844368,-12.888896942507678 45.138362167872508,-12.869433734591315 45.154088879037829,-12.874235720485075 45.162691979932184,-12.879990765265259 45.166475647383201,-12.914902458662658 45.158959022749634,-12.952868524236987 45.154862128283312,-12.962447227424599 45.140895368429398,-12.965620108762879</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
97617,TSINGONI,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>45.152571973981694,-12.804272473457535 45.132257312250346,-12.810116079811694 45.121908256296123,-12.80790558102891 45.099837126488069,-12.801937556066868 45.102691523741655,-12.796899595998156 45.111978648935263,-12.795286188189211 45.1112125668893,-12.792284288417688 45.098386341346611,-12.791258501777342 45.09599764647681,-12.785200671810021 45.101688670760467,-12.777593498693376 45.125770345366753,-12.754478619455526 45.158866830823428,-12.762355213679077 45.173055771683764,-12.764046356444608 45.171570299274912,-12.774455633001335 45.152571973981694,-12.804272473457535</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
97607,DEMBENI,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>45.22196052427541,-12.872333268670872 45.19306675215217,-12.885667075655157 45.178900354536609,-12.886563326356136 45.162691979932184,-12.879990765265259 45.154088879037829,-12.874235720485075 45.14832892008782,-12.843900493743609 45.14580930130289,-12.837481516187415 45.139798786569941,-12.833949045161416 45.154820419608726,-12.81958969312802 45.197819303646149,-12.822219462089672 45.19386095587145,-12.827584783559693 45.194078069847286,-12.834321499396216 45.187337704833602,-12.841542532023434 45.19369855340598,-12.84416032510096 45.203564776157634,-12.862193183603168 45.210285280787829,-12.864240588119028 45.211857752042654,-12.870985215962278 45.22196052427541,-12.872333268670872</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
97613,M'TSANGAMOUJI,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>45.101688670760467,-12.777593498693376 45.10283771238948,-12.771073152043616 45.09880040139933,-12.766092075295621 45.09308047909213,-12.769801727680735 45.084086820986222,-12.764876381091444 45.07749085307195,-12.766578457814566 45.059982501522548,-12.751345763526677 45.050761471652649,-12.754693561233596 45.043196811965522,-12.748147856128048 45.063820059730105,-12.735176180568001 45.095121057286889,-12.732426790191234 45.101452848267819,-12.740698680233725 45.125770345366753,-12.754478619455526 45.101688670760467,-12.777593498693376</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
97616,SADA,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>45.132261665844368,-12.888896942507678 45.120052355169037,-12.877599350896201 45.113032944257142,-12.865928231456072 45.100422461860269,-12.860589069275386 45.093885070088611,-12.852697121399503 45.101439537609487,-12.845767519806653 45.115023077887521,-12.844233687745916 45.117353510817622,-12.841700670632369 45.121296844818865,-12.839600948009299 45.121923662926719,-12.839917156219808 45.129732307371341,-12.863641719475021 45.138362167872508,-12.869433734591315 45.132261665844368,-12.888896942507678</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
97605,CHICONI,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>45.121923662926719,-12.839917156219808 45.121296844818865,-12.839600948009299 45.106255423513737,-12.836171191426036 45.101203837106169,-12.832510843660609 45.106081308974495,-12.816512165178763 45.100586127724384,-12.808601843226556 45.099837126488069,-12.801937556066868 45.121908256296123,-12.80790558102891 45.125715959605223,-12.830727873299081 45.121923662926719,-12.839917156219808</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
97611,MAMOUDZOU,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>45.197819303646149,-12.822219462089672 45.154820419608726,-12.81958969312802 45.152571973981694,-12.804272473457535 45.171570299274912,-12.774455633001335 45.173055771683764,-12.764046356444608 45.19837416338946,-12.765755740290164 45.23600626054516,-12.752793578592419 45.237416299878575,-12.763245808184813 45.234219270664184,-12.773069151002829 45.231722288091127,-12.772845284072135 45.231713518251979,-12.763214699607824 45.226278852114262,-12.774604310083312 45.23180798434953,-12.775892634189116 45.235664801509557,-12.781993109076407 45.233786549335456,-12.783414499267446 45.221880044644507,-12.791038820399738 45.21419596348634,-12.802294417101738 45.205650147384603,-12.808504585655841 45.203861405314974,-12.818561562890416 45.197819303646149,-12.822219462089672</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
97601,ACOUA,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>45.043196811965522,-12.748147856128048 45.042486912335008,-12.744865402342356 45.05465391592849,-12.733758496678844 45.056567960411009,-12.724642852296546 45.043146409902654,-12.722484123475008 45.050236980844076,-12.711088809489272 45.051579894616438,-12.701683919699411 45.060912768227688,-12.711936606181487 45.095778119818348,-12.715932312610182 45.095121057286889,-12.732426790191234 45.063820059730105,-12.735176180568001 45.043196811965522,-12.748147856128048</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
97614,OUANGANI,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>45.154088879037829,-12.874235720485075 45.138362167872508,-12.869433734591315 45.129732307371341,-12.863641719475021 45.121923662926719,-12.839917156219808 45.125715959605223,-12.830727873299081 45.121908256296123,-12.80790558102891 45.132257312250346,-12.810116079811694 45.152571973981694,-12.804272473457535 45.154820419608726,-12.81958969312802 45.139798786569941,-12.833949045161416 45.14580930130289,-12.837481516187415 45.14832892008782,-12.843900493743609 45.154088879037829,-12.874235720485075</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
